report_updated_at,po_issued_date,id,order_number,status,sku,part.id,name_y,tags_y,quantity,unit_price_micros,unit_price,total_cost,currency,incoterms,payment_terms,brand,description_yuju,Categoria,Subcategoria,Producto,priority,reason,category,buyer,Lead,tags_x,shipping_method,target_delivery_date,supplier.name,supplier.address_line1,supplier.country,supplier.id,ships_to.company_line1,ships_to.country,PreProductionMilestone,ProductionMilestone,OnTrackToShipMilestone,ShipmentMilestone,DeliveryMilestone,mass_production_starts_on,target_ship_date,estimated_ship_date,past_due,original_ships_on,pol,loaded_to_etd,etd_to_eta_port,eta_port_to_custom_clereance,custom_clereance_to_warehouse,total_tt,eta_theoretical,eta_anvyl,best_eta,eta_source,days_to_shipment,upcoming_shipment,normalized_cost_usd,ots_usd,ots_qty,ots_raw,theoretical_lt,actual_lt,estimated_e2e_lead_time,est_advanced_payment,est_outstanding_payment,week_in_month,current_week,current_month,current_year,target_ship_date_week,target_ship_date_month,target_ship_date_year,week_filter,year_filter,month_filter,estimated_ship_date_week,estimated_ship_date_month,estimated_ship_date_year,week_filter_estimated_ship,year_filter_estimated_ship,month_filter_estimated_ship,estimated_e2e_lead_time_year,year_filter_eta,country_code,taskable.id,01.labels_manuals_ship_marks (Sup),02.advance_payment (Src),03.labels_manuals_ship_marks (Src),04.production_ready (Sup),05.quality_audit (Src),06.documents_hand_over (Sup),07.transportation_hand_over (Tpt),08.booking_requested (Tpt),09.booking_confirmation (Tpt),10.container_loading_audit (Tpt),11.bill_of_lading (Tpt),12.outstanding_payment (Src),13.departure (Tpt),14.arrival_at_port (Tpt),15.in_customs (Tpt),16.wh_delivery (Tpt),flag
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289322437,167714,Sillón,[],3,2761900000,2761.9,8285.7,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SillonHavreQBlue,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,414.285,0,0,LATE,33,317,317,0,414.285,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289322420,167715,Sillón,[],3,2761900000,2761.9,8285.7,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SillonHavreQGraphite,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,414.285,0,0,LATE,33,317,317,0,414.285,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289322413,167713,Sillón,[],3,2761900000,2761.9,8285.7,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SillonHavreQAsh,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,414.285,0,0,LATE,33,317,317,0,414.285,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289321249,167709,Sillón,[],4,2576940000,2576.94,10307.76,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SillonDerbyQGraphite,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,515.388,0,0,LATE,33,317,317,0,515.388,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289321232,167707,Sillón,[],7,2576940000,2576.94,"$18,038.58 ",MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SillonDerbyQAsh,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,901.929,0,0,LATE,33,317,317,0,901.929,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289321089,167708,Sillón,[],9,2576940000,2576.94,23192.46,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SillonDerbyQBlue,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,1159.623,0,0,LATE,33,317,317,0,1159.623,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289320976,167696,Love Seat,[],4,4471600000,4471.6,17886.4,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,LoveseatSkaraQBlue,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,894.32,0,0,LATE,33,317,317,0,894.32,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289320969,167697,Love Seat,[],10,4471600000,4471.6,44716,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,LoveseatSkaraQGraphite,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,2235.8,0,0,LATE,33,317,317,0,2235.8,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289320952,167695,Love Seat,[],18,4471600000,4471.6,80488.8,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,LoveseatSkaraQAsh,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,4024.44,0,0,LATE,33,317,317,0,4024.44,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
3/14/2023 3:23,5/17/2022 12:12,69841,VLR-000499,active,7502289320877,167726,Sillón,[],3,2550300000,2550.3,7650.9,MXN,DDP,50% pay in advance 50% before shipping,Sofamatch,SillonPooleQBlue,"Hogar, Muebles, Cocina y Jardín",Muebles,"Sillas, Sillones y Bancos",,,Lifestyles,Sam,Tereza,['SAMANTA'],TRUCK,6/20/2022,Saydi,,MX,14569,"Benito Juárez 20, San Mateo Cuautepec, 54948 Fuentes del Valle, Méx Bodega 4 de Onest",MX,accepted,accepted,accepted,awaiting_check_in,inactive,5/17/2022 0:00,6/20/2022 0:00,3/31/2023 0:00,ok,6/20/2022 0:00,MX,5,0,0,0,5,4/5/2023 0:00,3/31/2023 0:00,3/31/2023 0:00,anvyl_data,16,-,382.545,0,0,LATE,33,317,317,0,382.545,4,11,3,2023,25,6,2022,upcoming,,upcoming,13,3,2023,upcoming,current,,2023,current,1,,,,,,,,,,,,,,,,,,
